STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,77188,Lô,MenberK484,78,"216,800","03-01-2023 12:02:05"
﻿2,77189,Lô,MenberK484,30,"216,800","03-01-2023 12:02:05"
﻿3,77193,Lô,MenberK484,23,"216,800","03-01-2023 12:02:05"
﻿4,77192,Lô,MenberK484,12,"216,800","03-01-2023 12:02:05"
﻿5,77200,Lô,MenberK484,47,"216,800","03-01-2023 12:02:05"
﻿6,77196,Lô,MenberK484,28,"216,800","03-01-2023 12:02:05"
﻿7,77201,Lô,MenberK484,55,"216,800","03-01-2023 12:02:05"
﻿8,77197,Lô,MenberK484,78,"216,800","03-01-2023 12:02:05"
﻿9,77205,Lô,MenberK484,54,"216,800","03-01-2023 12:02:05"
﻿10,77204,Lô,MenberK484,36,"216,800","03-01-2023 12:02:05"
﻿11,77209,Lô,MenberK484,33,"216,800","03-01-2023 12:02:05"
﻿12,77208,Lô,MenberK484,99,"216,800","03-01-2023 12:02:05"
﻿13,77212,Lô,MenberK484,30,"216,800","03-01-2023 12:02:05"
﻿14,77213,Lô,MenberK484,26,"216,800","03-01-2023 12:02:05"
﻿15,77217,Lô,MenberK484,00,"216,800","03-01-2023 12:02:05"
﻿16,77216,Lô,MenberK484,45,"216,800","03-01-2023 12:02:05"
﻿17,77220,Lô,MenberK484,70,"216,800","03-01-2023 12:02:08"
﻿18,77221,Lô,MenberK484,72,"216,800","03-01-2023 12:02:08"
﻿19,77224,Lô,MenberK484,09,"216,800","03-01-2023 12:02:08"
﻿20,77225,Lô,MenberK484,10,"216,800","03-01-2023 12:02:08"
﻿21,77228,Lô,MenberK484,09,"216,800","03-01-2023 12:02:08"
﻿22,77229,Lô,MenberK484,03,"216,800","03-01-2023 12:02:08"
﻿23,77232,Lô,MenberK484,39,"216,800","03-01-2023 12:02:08"
﻿24,77233,Lô,MenberK484,32,"216,800","03-01-2023 12:02:08"
﻿25,77236,Lô,MenberK484,67,"216,800","03-01-2023 12:02:08"
﻿26,77237,Lô,MenberK484,58,"216,800","03-01-2023 12:02:08"
﻿27,77240,Lô,MenberK484,43,"216,800","03-01-2023 12:02:08"
﻿28,77241,Lô,MenberK484,55,"216,800","03-01-2023 12:02:08"
﻿29,77244,Lô,MenberK484,41,"216,800","03-01-2023 12:02:09"
﻿30,77245,Lô,MenberK484,73,"216,800","03-01-2023 12:02:09"
﻿31,77248,Lô,MenberK484,83,"216,800","03-01-2023 12:02:09"
﻿32,77249,Lô,MenberK484,40,"216,800","03-01-2023 12:02:09"
﻿33,77252,Lô,MenberK484,32,"216,800","03-01-2023 12:02:09"
﻿34,77253,Lô,MenberK484,09,"216,800","03-01-2023 12:02:09"
﻿35,77256,Lô,MenberK484,05,"216,800","03-01-2023 12:02:12"
﻿36,77257,Lô,MenberK484,17,"216,800","03-01-2023 12:02:12"
﻿37,77260,Lô,MenberK484,04,"216,800","03-01-2023 12:02:12"
﻿38,77261,Lô,MenberK484,08,"216,800","03-01-2023 12:02:12"
﻿39,77264,Lô,MenberK484,09,"216,800","03-01-2023 12:02:12"
﻿40,77265,Lô,MenberK484,53,"216,800","03-01-2023 12:02:12"
﻿41,77268,Lô,MenberK484,36,"216,800","03-01-2023 12:02:12"
﻿42,77269,Lô,MenberK484,44,"216,800","03-01-2023 12:02:12"
﻿43,77272,Lô,MenberK484,98,"216,800","03-01-2023 12:02:12"
﻿44,77273,Lô,MenberK484,45,"216,800","03-01-2023 12:02:12"
﻿45,77276,Lô,MenberK484,47,"216,800","03-01-2023 12:02:12"
﻿46,77277,Lô,MenberK484,53,"216,800","03-01-2023 12:02:12"
﻿47,77280,Lô,MenberK484,20,"216,800","03-01-2023 12:02:12"
﻿48,77281,Lô,MenberK484,21,"216,800","03-01-2023 12:02:12"
﻿49,77284,Lô,MenberK484,93,"216,800","03-01-2023 12:02:12"
﻿50,77285,Lô,MenberK484,23,"216,800","03-01-2023 12:02:12"
﻿51,77288,Lô,MenberK484,78,"216,800","03-01-2023 12:02:13"
﻿52,77289,Lô,MenberK484,30,"216,800","03-01-2023 12:02:13"
﻿53,77292,Lô,MenberK484,12,"216,800","03-01-2023 12:02:16"
﻿54,77293,Lô,MenberK484,23,"216,800","03-01-2023 12:02:16"
﻿55,77296,Lô,MenberK484,28,"216,800","03-01-2023 12:02:16"
﻿56,77297,Lô,MenberK484,78,"216,800","03-01-2023 12:02:16"
﻿57,77300,Lô,MenberK484,47,"216,800","03-01-2023 12:02:16"
﻿58,77301,Lô,MenberK484,55,"216,800","03-01-2023 12:02:16"
﻿59,77304,Lô,MenberK484,36,"216,800","03-01-2023 12:02:16"
﻿60,77305,Lô,MenberK484,54,"216,800","03-01-2023 12:02:16"
﻿61,77308,Lô,MenberK484,99,"216,800","03-01-2023 12:02:16"
﻿62,77309,Lô,MenberK484,33,"216,800","03-01-2023 12:02:16"
﻿63,77312,Lô,MenberK484,30,"216,800","03-01-2023 12:02:16"
﻿64,77313,Lô,MenberK484,26,"216,800","03-01-2023 12:02:16"
﻿65,77316,Lô,MenberK484,45,"216,800","03-01-2023 12:02:16"
﻿66,77317,Lô,MenberK484,00,"216,800","03-01-2023 12:02:16"
﻿67,77320,Lô,MenberK484,70,"216,800","03-01-2023 12:02:16"
﻿68,77321,Lô,MenberK484,72,"216,800","03-01-2023 12:02:16"
﻿69,77324,Lô,MenberK484,09,"216,800","03-01-2023 12:02:16"
﻿70,77325,Lô,MenberK484,10,"216,800","03-01-2023 12:02:16"
﻿71,77328,Lô,MenberK484,09,"216,800","03-01-2023 12:02:20"
﻿72,77329,Lô,MenberK484,03,"216,800","03-01-2023 12:02:20"
