STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,1137229,Đề,MenberO489,08,"90,700","10-01-2023 12:02:12"
﻿2,1137237,Đề,MenberO489,82,"90,700","10-01-2023 12:02:18"
﻿3,1138213,Đề,MenberO489,08,"90,700","10-01-2023 12:16:13"
﻿4,1138219,Đề,MenberO489,82,"90,700","10-01-2023 12:16:20"
﻿5,1139257,Đề,MenberO489,08,"90,700","10-01-2023 12:31:13"
﻿6,1139266,Đề,MenberO489,82,"90,700","10-01-2023 12:31:16"
﻿7,1140272,Đề,MenberO489,08,"90,700","10-01-2023 12:45:31"
﻿8,1140278,Đề,MenberO489,82,"90,700","10-01-2023 12:45:37"
﻿9,1141277,Đề,MenberO489,08,"90,700","10-01-2023 12:59:43"
﻿10,1141284,Đề,MenberO489,82,"90,700","10-01-2023 12:59:44"
﻿11,1175561,Đề,MenberO489,00,"272,100","10-01-2023 10:01:15"
﻿12,1175569,Đề,MenberO489,01,"272,100","10-01-2023 10:01:18"
﻿13,1175574,Đề,MenberO489,02,"272,100","10-01-2023 10:02:54"
﻿14,1175579,Đề,MenberO489,03,"272,100","10-01-2023 10:03:39"
﻿15,1175585,Đề,MenberO489,04,"272,100","10-01-2023 10:04:10"
﻿16,1175590,Đề,MenberO489,05,"272,100","10-01-2023 10:04:13"
﻿17,1175592,Đề,MenberO489,06,"272,100","10-01-2023 10:04:15"
﻿18,1175595,Đề,MenberO489,99,"272,100","10-01-2023 10:06:04"
﻿19,1175598,Đề,MenberO489,10,"181,400","10-01-2023 10:06:24"
﻿20,1175603,Đề,MenberO489,11,"181,400","10-01-2023 10:07:40"
﻿21,1175606,Đề,MenberO489,12,"181,400","10-01-2023 10:07:45"
﻿22,1175610,Đề,MenberO489,13,"181,400","10-01-2023 10:07:50"
﻿23,1175614,Đề,MenberO489,14,"181,400","10-01-2023 10:10:39"
﻿24,1175617,Đề,MenberO489,15,"181,400","10-01-2023 10:11:17"
﻿25,1175621,Đề,MenberO489,16,"181,400","10-01-2023 10:12:12"
﻿26,1175625,Đề,MenberO489,89,"181,400","10-01-2023 10:13:11"
﻿27,1175844,Đề,MenberO489,00,"272,100","10-01-2023 10:45:24"
﻿28,1175850,Đề,MenberO489,01,"272,100","10-01-2023 10:45:28"
﻿29,1175853,Đề,MenberO489,02,"272,100","10-01-2023 10:45:32"
﻿30,1175857,Đề,MenberO489,03,"272,100","10-01-2023 10:47:07"
﻿31,1175861,Đề,MenberO489,04,"272,100","10-01-2023 10:47:22"
﻿32,1175864,Đề,MenberO489,05,"272,100","10-01-2023 10:48:17"
﻿33,1175871,Đề,MenberO489,06,"272,100","10-01-2023 10:48:22"
﻿34,1175877,Đề,MenberO489,99,"272,100","10-01-2023 10:50:13"
﻿35,1175883,Đề,MenberO489,10,"181,400","10-01-2023 10:51:08"
﻿36,1175888,Đề,MenberO489,11,"181,400","10-01-2023 10:51:12"
﻿37,1175893,Đề,MenberO489,12,"181,400","10-01-2023 10:51:18"
﻿38,1175897,Đề,MenberO489,13,"181,400","10-01-2023 10:52:57"
