STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:03:48","Huỷ Cược"
﻿2,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:04:48","Huỷ Cược"
﻿3,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:05:22","Huỷ Cược"
﻿4,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:05:43","Huỷ Cược"
﻿5,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:06:07","Huỷ Cược"
﻿6,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:06:10","Huỷ Cược"
﻿7,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:06:13","Huỷ Cược"
﻿8,25224,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 02:06:38","Huỷ Cược"
﻿9,25226,Xiên2,satomember,"92,93(27)","168,000","14-01-2023 02:07:16","Huỷ Cược"
﻿10,25223,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 03:10:53"
﻿11,25224,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 03:10:53"
﻿12,25225,Xiên2,satomember,"90,91(27)","168,000","14-01-2023 03:10:53"
﻿13,25226,Xiên2,satomember,"92,93(27)","168,000","14-01-2023 03:10:53"
