STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,788512,Lô,trnn60,00,"21,840","05-01-2023 03:28:53"
﻿2,788513,Lô,trnn60,01,"21,680","05-01-2023 03:28:53"
﻿3,788514,Lô,trnn60,02,"21,680","05-01-2023 03:28:53"
﻿4,788515,Lô,trnn60,03,"21,680","05-01-2023 03:28:53"
﻿5,788516,Lô,trnn60,04,"21,680","05-01-2023 03:28:53"
﻿6,788517,Lô,trnn60,05,"21,680","05-01-2023 03:28:53"
﻿7,788518,Lô,trnn60,06,"21,680","05-01-2023 03:28:53"
﻿8,788519,Lô,trnn60,07,"21,680","05-01-2023 03:28:53"
﻿9,788520,Lô,trnn60,08,"21,680","05-01-2023 03:28:53"
﻿10,788521,Lô,trnn60,09,"21,830","05-01-2023 03:28:53"
﻿11,788522,Lô,trnn60,10,"21,680","05-01-2023 03:28:53"
