STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,788411,Đề,trnn60,01,705,"05-01-2023 03:26:00"
﻿2,788412,Đề,trnn60,00,"70,500","05-01-2023 03:26:31"
﻿3,788413,Đề,trnn60,01,"70,500","05-01-2023 03:26:31"
﻿4,788414,Đề,trnn60,02,"70,500","05-01-2023 03:26:31"
﻿5,788415,Đề,trnn60,03,"70,500","05-01-2023 03:26:31"
﻿6,788416,Đề,trnn60,04,"70,500","05-01-2023 03:26:31"
﻿7,788417,Đề,trnn60,05,"70,500","05-01-2023 03:26:31"
﻿8,788418,Đề,trnn60,06,"70,500","05-01-2023 03:26:31"
﻿9,788419,Đề,trnn60,07,"70,500","05-01-2023 03:26:31"
﻿10,788420,Đề,trnn60,08,"70,500","05-01-2023 03:26:31"
﻿11,788421,Đề,trnn60,09,"70,500","05-01-2023 03:26:31"
﻿12,788422,Đề,trnn60,10,"70,500","05-01-2023 03:26:31"
﻿13,788423,Đề,trnn60,11,"70,500","05-01-2023 03:26:31"
﻿14,788424,Đề,trnn60,12,"70,500","05-01-2023 03:26:31"
﻿15,788425,Đề,trnn60,13,"70,500","05-01-2023 03:26:31"
﻿16,788426,Đề,trnn60,14,"70,500","05-01-2023 03:26:31"
﻿17,788427,Đề,trnn60,15,"70,500","05-01-2023 03:26:31"
﻿18,788428,Đề,trnn60,16,"70,500","05-01-2023 03:26:31"
﻿19,788429,Đề,trnn60,17,"70,500","05-01-2023 03:26:31"
﻿20,788430,Đề,trnn60,18,"70,500","05-01-2023 03:26:31"
﻿21,788431,Đề,trnn60,19,"70,500","05-01-2023 03:26:31"
﻿22,788432,Đề,trnn60,20,"70,500","05-01-2023 03:26:31"
﻿23,788433,Đề,trnn60,21,"70,500","05-01-2023 03:26:31"
﻿24,788434,Đề,trnn60,22,"70,500","05-01-2023 03:26:31"
﻿25,788435,Đề,trnn60,23,"70,500","05-01-2023 03:26:31"
﻿26,788436,Đề,trnn60,24,"71,500","05-01-2023 03:26:31"
﻿27,788437,Đề,trnn60,25,"70,500","05-01-2023 03:26:31"
﻿28,788438,Đề,trnn60,26,"70,500","05-01-2023 03:26:31"
﻿29,788439,Đề,trnn60,27,"70,500","05-01-2023 03:26:31"
﻿30,788440,Đề,trnn60,28,"70,500","05-01-2023 03:26:31"
﻿31,788442,Đề,trnn60,30,"70,500","05-01-2023 03:26:31"
﻿32,788443,Đề,trnn60,31,"70,500","05-01-2023 03:26:31"
﻿33,788444,Đề,trnn60,32,"70,500","05-01-2023 03:26:31"
﻿34,788441,Đề,trnn60,29,"70,500","05-01-2023 03:26:31"
﻿35,788445,Đề,trnn60,33,"70,500","05-01-2023 03:26:31"
﻿36,788446,Đề,trnn60,34,"70,500","05-01-2023 03:26:31"
﻿37,788447,Đề,trnn60,35,"70,500","05-01-2023 03:26:31"
﻿38,788448,Đề,trnn60,36,"70,500","05-01-2023 03:26:31"
﻿39,788449,Đề,trnn60,37,"70,500","05-01-2023 03:26:31"
﻿40,788450,Đề,trnn60,38,"70,500","05-01-2023 03:26:31"
﻿41,788451,Đề,trnn60,39,"70,500","05-01-2023 03:26:31"
﻿42,788452,Đề,trnn60,40,"70,500","05-01-2023 03:26:31"
﻿43,788453,Đề,trnn60,41,"70,500","05-01-2023 03:26:31"
﻿44,788454,Đề,trnn60,42,"70,500","05-01-2023 03:26:31"
﻿45,788455,Đề,trnn60,43,"70,500","05-01-2023 03:26:31"
﻿46,788456,Đề,trnn60,44,"70,500","05-01-2023 03:26:31"
﻿47,788457,Đề,trnn60,45,"70,500","05-01-2023 03:26:31"
﻿48,788458,Đề,trnn60,46,"70,500","05-01-2023 03:26:31"
﻿49,788459,Đề,trnn60,47,"70,500","05-01-2023 03:26:31"
﻿50,788460,Đề,trnn60,48,"70,500","05-01-2023 03:26:31"
﻿51,788461,Đề,trnn60,49,"70,500","05-01-2023 03:26:31"
